number;researcher_id
9372783217;1
4074414089;1
1923767819;2
8558361504;3
6199980264;4
9265392489;5
3198333675;6
7381791775;6
3486305081;7
8269334367;8
7286533079;9
7938613142;10
9794950334;11
5151350909;12
7104175063;12
1427537210;13
4429040652;13
2817421086;14
6798853837;15
8439307380;15
6211070948;15
3365493093;15
3509848989;15
1191725177;16
7244393139;16
2485343337;17
8574217788;17
3704092458;17
6368327515;17
4867513429;17
6175534422;18
1034923673;18
7114418913;18
1732737453;18
8197832752;19
8774675953;19
8725082062;20
6857888686;20
3893975961;21
7097787131;21
4886007211;22
7692374095;23
8099464036;24
6187891135;25
6506537203;26
5874227624;26
4415081882;27
1942817916;27
4295886058;28
4563878595;29
6901067295;30
8063660763;31
4508509738;32
6738362963;33
9656918229;34
5525196330;34
1769628937;35
9602254627;35
4108516451;35
4415392633;35
4408126731;35
4665010602;36
7692523413;37
5618848811;37
2658562871;38
3387654372;38
1841954813;39
3961474993;40
1336195088;41
1661612645;42
4485432737;43
9275467122;44
5793247260;45
8187404068;46
8635568910;47
5996389739;47
4982792202;48
2019938526;49
7035858786;49
2688621115;49
4917467622;50
4938557781;51
5367168063;52
5728695801;53
6027570223;53
3853034284;54
9724797856;55
3957774300;55
1958366326;56
9205333100;56
4174913917;57
2167264338;58
6455246868;58
8775876496;59
3153506590;59
8495135744;59
2555997545;60
2361693846;60
9185420650;61
2601559382;61
9286398366;62
2422456213;63
5637884207;64
3513691321;65
2438916758;66
3939232974;66
1577517381;66
2311107665;66
4033315454;66
4689655249;67
6654420732;68
2767272496;68
8572042699;69
2976592769;70
7973944669;71
6969952244;71
5797604424;72
2395587729;72
2864013851;72
2916524998;72
3237854130;72
7091120379;72
8401738844;73
6414603585;73
2944771737;73
9378239104;73
1273039717;74
8697495846;74
1754868138;75
8455017003;76
4789617196;77
1404260040;78
6576699698;78
3239611974;78
1625000342;78
7569935256;79
3647369892;80
9627470083;81
6985802806;82
2976111884;82
8371203254;82
7325139246;82
2386593816;83
4195265285;84
7396613975;85
3327631265;85
9757382282;85
1908056898;85
4801369686;86
7526420266;87
6247071750;88
2936340684;88
7681951997;89
2715783055;90
1861499624;91
5676255461;91
2195218378;91
7152137000;91
1811933416;92
8379801528;93
6422984351;94
4038593621;94
8752207020;95
7057199864;95
1769905666;96
3332555525;96
8035730900;97
9036745820;98
1387119203;98
2775719450;98
9938577369;98
8382675217;99
2374617351;99
7074583507;99
4666623461;100
2719803754;100
6321593374;101
7511750786;101
1684677643;102
4008770709;102
2004300702;103
9595391812;104
7545570834;105
6059839162;106
2511307951;107
4249329290;107
9256480448;108
9248357194;109
1424292117;110
5956593280;111
7214281997;112
6195054146;113
2016080005;114
9311864521;115
7546717664;116
9246556302;117
1704065658;118
4686954199;119
4161124150;120
2873121847;120
